isim,slug,kurulus,tur,il,bolge,website,eposta,telefon,fax,adres,rektor,profesor,docent,doktor,ogretim,arastirma,onlisanserkek,onlisanskadin,onlisanstoplam,lisanserkek,lisanskadin,lisanstoplam,yukseklisanserkek,yukseklisanskadin,yukseklisanstoplam,doktoraerkek,doktorakadin,doktoratoplam,toplamerkek,toplamkadin,toplam
ÇANKAYA ÜNİVERSİTESİ,cankaya-universitesi,15.07.1997,VAKIF,ANKARA,İÇ ANADOLU,http://www.cankaya.edu.tr/,webadmin@cankaya.edu.tr,03122331000 - 03122844500,03122331029-03122864078,"Çankaya Üniversitesi  Merkez Kampüs : Eskişehir Yolu 29. Km Yukarıyurtçu Mahallesi, ",CAN ÇOĞUN,58.0,33.0,76.0,96.0,35.0,115.0,80.0,195.0,3047.0,2527.0,5574.0,369.0,355.0,724.0,32.0,34.0,66.0,3563.0,2996.0,6559.0
GAZİ ÜNİVERSİTESİ,gazi-universitesi,20.07.1982,DEVLET,ANKARA,İÇ ANADOLU,http://gazi.edu.tr/,ozelkalem@gazi.edu.tr,03122126840-03122022000,0312 221 32 02,Gazi Üniversitesi Rektörlüğü 06500 Teknikokullar / Ankara,MUSA YILDIZ,1016.0,383.0,272.0,488.0,1143.0,2076.0,1440.0,3516.0,12427.0,14059.0,26486.0,2797.0,3221.0,6018.0,1697.0,1995.0,3692.0,18997.0,20715.0,39712.0
HACETTEPE ÜNİVERSİTESİ,hacettepe-universitesi,8.07.1967,DEVLET,ANKARA,İÇ ANADOLU,http://hacettepe.edu.tr,ozelkalem@hacettepe.edu.tr,3123051001,3123104051,Hacettepe Üniversitesi Rektörlüğü Sıhhıye/ANKARA,MEHMET CAHİT GÜRAN,946.0,331.0,531.0,618.0,1594.0,3004.0,2382.0,5386.0,16526.0,21002.0,37528.0,2543.0,3400.0,5943.0,1811.0,2516.0,4327.0,23884.0,29300.0,53184.0
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,ihsan-dogramaci-bilkent-universitesi,22.05.1985,VAKIF,ANKARA,İÇ ANADOLU,http://www.bilkent.edu.tr/,bilinfo@bilkent.edu.tr,3122664120,0312 266 41 27,BİLKENT ÜNİVERSİTESİ 06800 BİLKENT/ANKARA,ABDURRAHMAN KÜRŞAT AYDOĞAN,104.0,74.0,192.0,357.0,8.0,0.0,0.0,0.0,5594.0,5031.0,10625.0,383.0,404.0,787.0,212.0,197.0,409.0,6189.0,5632.0,11821.0
LOKMAN HEKİM ÜNİVERSİTESİ,lokman-hekim-universitesi,20.12.2017,VAKIF,ANKARA,İÇ ANADOLU,www.lokmanhekim.edu.tr,info@lokmanhekim.edu.tr,3122800808,312 280 0808,Söğütözü Mah. 2179. Cad. No:6 Çankaya Ankara,BÜLENT GÜMÜŞEL,73.0,35.0,91.0,33.0,43.0,347.0,1042.0,1389.0,841.0,2078.0,2919.0,32.0,81.0,113.0,8.0,11.0,19.0,1228.0,3212.0,4440.0
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,orta-dogu-teknik-universitesi,15.11.1956,DEVLET,ANKARA,İÇ ANADOLU,http://www.metu.edu.tr,gensek@metu.edu.tr,3122101100,2101105,Orta Doğu Teknik Üniversitesi Üniversiteler Mah.Dumlupınar Blv.No:1 ,MUSTAFA VERŞAN KÖK,391.0,176.0,246.0,572.0,756.0,7.0,0.0,7.0,13635.0,9196.0,22831.0,2780.0,2351.0,5131.0,1655.0,1593.0,3248.0,18077.0,13140.0,31217.0
OSTİM TEKNİK ÜNİVERSİTESİ,ostim-teknik-universitesi,1.07.2017,VAKIF,ANKARA,İÇ ANADOLU,www.ostimteknik.edu.tr,esra.demirci@ostimteknik.edu.tr,3123861092,3123543993,"OSTİM Teknik Üniversitesi OSTİM, 06374 Ankara",MURAT ALİ YÜLEK,27.0,8.0,75.0,37.0,24.0,929.0,160.0,1089.0,1652.0,659.0,2311.0,108.0,36.0,144.0,0.0,0.0,0.0,2689.0,855.0,3544.0
TED ÜNİVERSİTESİ,ted-universitesi,7.07.2009,VAKIF,ANKARA,İÇ ANADOLU,http://www.tedu.edu.tr,info@tedu.edu.tr,3125850000,3124184148,"TED Üniversitesi, Ziya Gökalp Caddesi No.48 06420, Kolej Çankaya ANKARA",İHSAN SABUNCUOĞLU,32.0,19.0,103.0,79.0,78.0,0.0,0.0,0.0,1775.0,2757.0,4532.0,58.0,148.0,206.0,0.0,6.0,6.0,1833.0,2911.0,4744.0
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,tobb-ekonomi-ve-teknoloji-universitesi,1.07.2003,VAKIF,ANKARA,İÇ ANADOLU,www.etu.edu.tr,bilgi@etu.edu.tr,3122924005,3122924099,SÖĞÜTÖZÜ CADDESİ NO:43 ÇANKAYA/ANKARA,YUSUF SARINAY,98.0,41.0,92.0,82.0,26.0,0.0,0.0,0.0,2548.0,2375.0,4923.0,298.0,255.0,553.0,83.0,47.0,130.0,2929.0,2677.0,5606.0
TÜRK HAVA KURUMU ÜNİVERSİTESİ,turk-hava-kurumu-universitesi,3.03.2011,VAKIF,ANKARA,İÇ ANADOLU,http://www.thk.edu.tr,rektor@thk.edu.tr,0312 444 84 58,0312 342 84 60,Bahçekapı Mahallesi Okul Sokak No:11 Etimesgut / ANKARA,HASAN ERBAY,7.0,13.0,38.0,60.0,22.0,429.0,202.0,631.0,1571.0,745.0,2316.0,35.0,22.0,57.0,24.0,4.0,28.0,2059.0,973.0,3032.0
UFUK ÜNİVERSİTESİ,ufuk-universitesi,18.12.1999,VAKIF,ANKARA,İÇ ANADOLU,http://www.ufuk.edu.tr,ozelkalem@ufuk.edu.tr,3125867041,3125867124,Ufuk Üniversitesi Rektörlüğü  Kızılcaşar Mahallesi İncek Bulvarı 06836 ,SERTAÇ HAMİ BAŞEREN,68.0,28.0,68.0,48.0,130.0,609.0,768.0,1377.0,982.0,1599.0,2581.0,201.0,307.0,508.0,7.0,5.0,12.0,1799.0,2679.0,4478.0
YÜKSEK İHTİSAS ÜNİVERSİTESİ,yuksek-ihtisas-universitesi,2.08.2013,VAKIF,ANKARA,İÇ ANADOLU,Yüksek İhtisas Üniversitesi,yiu@yiu.edu.tr,0312 329 1010,0312 329 1015,İşçi blokları mahallesi 1505. sokak Çankaya/ANKARA,MUSTAFA PAÇ,85.0,16.0,96.0,44.0,11.0,265.0,522.0,787.0,376.0,788.0,1164.0,2.0,5.0,7.0,0.0,0.0,0.0,643.0,1315.0,1958.0
